"Date","AAPL","MSFT","JPM","JNJ","XOM","UPS","HD","PG","BAC","NVDA","AVGO","CAKE","WMT","DIS","NFLX","AMZN","GS","PFE","CVX","TSLA"
"2022-01-03",178.103668212891,323.160827636719,144.929504394531,151.770004272461,54.7602386474609,174.976654052734,369.339569091797,146.320907592773,41.714241027832,30.06276512146,61.4447174072266,34.9555206298828,45.7654190063477,153.153335571289,59.7369995117188,170.404495239258,355.345642089844,45.3657150268555,100.499328613281,399.926666259766
"2022-01-04",175.843246459961,317.619476318359,150.423767089844,151.363052368164,56.8199882507324,178.082824707031,373.135650634766,146.832901000977,43.3492050170898,29.2333755493164,62.1487197875977,36.1083908081055,44.9269943237305,152.147018432617,59.1150016784668,167.522003173828,366.266754150391,43.6680068969727,102.32795715332,383.196655273438
"2022-01-05",171.165832519531,305.426788330078,147.673675537109,152.371673583984,57.526683807373,175.845397949219,368.074188232422,147.497589111328,42.6175422668457,27.5506324768066,59.5624389648438,36.1714477539062,45.5344467163086,151.619445800781,56.7519989013672,164.356994628906,358.311920166016,44.5489044189453,102.993675231934,362.706665039062
"2022-01-06",168.308502197266,303.013305664062,149.242538452148,151.849670410156,58.879753112793,177.550109863281,366.736572265625,146.258010864258,43.4756698608398,28.1235179901123,59.0094261169434,35.1807022094727,45.4078979492188,153.290100097656,55.3289985656738,163.253997802734,356.783874511719,43.9162635803223,103.870079040527,354.899993896484
"2022-01-07",168.474884033203,303.167755126953,150.721282958984,153.902252197266,59.362361907959,178.795822143555,355.755096435547,146.177185058594,44.4241218566895,27.1943206787109,57.3531608581543,35.0636177062988,45.8413429260254,154.198699951172,54.1059989929199,162.554000854492,357.305236816406,44.6209716796875,105.361633300781,342.320007324219
"2022-01-10",168.494400024414,303.389770507812,150.865570068359,153.141387939453,59.009033203125,173.526062011719,350.196502685547,144.18310546875,44.1983070373535,27.3470249176025,57.5393486022949,34.7483711242676,45.7527542114258,152.997024536133,53.9850006103516,161.485992431641,358.797302246094,45.0373916625977,105.429046630859,352.706665039062
"2022-01-11",171.322387695312,304.075286865234,151.018829345703,151.513458251953,61.4910850524902,173.149063110352,349.482482910156,142.512420654297,44.451229095459,27.763219833374,57.6217918395996,34.2710075378418,45.6230316162109,154.257308959961,54.0839996337891,165.361999511719,362.284851074219,45.3977508544922,107.839157104492,354.799987792969
"2022-01-12",171.762725830078,307.251220703125,151.875457763672,150.221740722656,61.3100852966309,173.108016967773,351.949951171875,142.826782226562,44.1350746154785,27.9448680877686,57.6171607971191,33.3433036804199,45.3825798034668,154.169387817383,53.7220001220703,165.207000732422,350.833404541016,45.3657150268555,107.299827575684,368.739990234375
"2022-01-13",168.494400024414,294.247680664062,151.686065673828,149.310424804688,60.8705749511719,172.493408203125,349.7626953125,142.180068969727,44.0447387695312,26.5236206054688,55.3189506530762,34.4691581726074,46.0248527526855,151.863708496094,51.9199981689453,161.214004516602,351.273864746094,44.4768180847168,106.853202819824,343.853332519531
"2022-01-14",169.355499267578,299.460754394531,142.362899780273,148.496444702148,61.9392166137695,169.272476196289,336.223388671875,143.545349121094,43.2769432067871,26.8899116516113,55.2429962158203,33.7846374511719,45.8951301574707,148.444244384766,52.5690002441406,162.138000488281,342.411071777344,44.0043411254883,108.67342376709,349.869995117188
